Day,Date,Productivity,Mood,Sleep Quality,Food Quality,Exercise,Social Interaction,Hydration,Learning,Creativity,Money Spending,Gaming
1,6/2/2024,8,8,8,7,4,6,4,8,4,4,4
2,7/2/2024,6,5,8,5,2,3,5,7,2,5,7
3,8/2/2024,8,6,6,7,4,5,3,7,3,8,5
4,9/2/2024,4,4,2,4,6,6,5,4,1,10,8
5,10/2/2024,1,6,7,6,2,4,5,2,1,5,9
6,11/2/2024,5,7,7,5,1,4,6,3,1,10,8
7,12/2/2024,3,4,4,3,6,6,5,2,1,6,8
8,13/2/2024,1,5,2,5,1,3,3,4,7,10,5
9,14/2/2024,2,5,3,6,6,9,2,3,1,3,5
10,15/2/2024,1,3,2,5,6,5,4,2,4,7,5
11,16/2/2024,7,6,2,3,4,4,4,6,5,8,6
12,17/2/2024,7,5,4,3,1,2,4,5,5,10,6
13,18/2/2024,6,5,5,6,1,2,6,6,5,10,6
14,19/2/2024,5,5,2,6,4,5,4,3,2,4,3
15,20/2/2024,8,7,2,5,6,5,3,4,3,3,4
16,21/2/2024,8,5,4,4,1,5,4,4,3,1,2
17,22/2/2024,7,4,3,6,1,4,5,5,1,10,2
18,23/2/2024,3,6,3,6,4,5,4,3,1,7,1
19,24/2/2024,3,5,4,4,2,5,5,2,1,10,2
20,25/2/2024,7,7,4,6,3,6,5,4,2,10,3
21,26/2/2024,6,5,3,4,1,5,5,2,1,5,3
22,27/2/2024,2,5,5,7,4,6,4,2,1,6,6
23,28/2/2024,6,6,2,5,1,5,6,5,1,7,8
24,29/2/2024,6,6,1,7,5,6,4,4,2,3,7
25,1/3/2024,2,5,3,6,4,6,4,2,1,5,8
26,2/3/2024,2,6,1,4,1,4,5,1,1,9,9
27,3/3/2024,1,5,2,4,1,5,6,1,1,9,9
28,4/3/2024,4,6,3,6,4,5,6,1,1,5,7
29,5/3/2024,2,6,4,7,5,6,5,3,1,5,7
30,6/3/2024,8,6,5,5,3,6,5,3,2,3,7
31,7/3/2024,5,5,7,7,4,5,5,3,1,5,6
32,8/3/2024,8,3,8,5,2,5,3,5,1,10,5
33,9/3/2024,7,6,7,4,1,3,3,3,1,10,7
34,10/3/2024,3,6,7,6,5,7,4,1,1,5,5
35,11/3/2024,2,4,6,7,4,7,3,2,1,6,7
36,12/3/2024,8,6,6,6,3,5,6,5,1,10,4
37,13/3/2024,9,4,6,5,2,5,5,4,1,6,3
38,14/3/2024,7,5,3,6,4,6,5,3,4,5,1
39,15/3/2024,7,4,5,4,2,4,5,2,4,10,4
40,16/3/2024,8,5,4,4,1,4,4,1,3,10,3
41,17/3/2024,6,5,4,4,2,5,5,2,4,10,5
42,18/3/2024,7,5,5,5,1,5,6,2,4,10,6
43,19/3/2024,5,6,7,4,6,6,4,3,2,6,6
44,20/3/2024,4,3,3,4,2,5,4,1,1,10,8
45,21/3/2024,7,6,4,4,1,4,3,4,4,6,6
46,22/3/2024,8,6,4,4,1,3,5,2,2,10,5
47,23/3/2024,7,5,4,4,1,4,5,1,2,10,7
48,24/3/2024,7,5,2,5,1,4,4,2,2,7,6
49,25/3/2024,6,6,4,4,1,5,5,2,2,6,7
50,26/3/2024,8,6,3,5,1,5,3,2,2,3,4
51,27/3/2024,8,6,3,5,1,4,3,3,2,9,5
52,28/3/2024,8,6,2,4,1,4,4,3,2,10,3
53,29/3/2024,9,6,1,4,1,4,4,3,2,10,1
54,30/3/2024,8,5,1,4,1,4,4,1,1,10,2
55,31/3/2024,8,5,2,4,1,4,4,2,1,9,2
56,1/4/2024,8,6,3,6,2,6,4,2,1,10,3
57,2/4/2024,7,6,6,5,2,5,4,2,1,10,5
58,3/4/2024,8,6,7,6,1,6,3,2,1,7,4
59,4/4/2024,5,4,6,5,1,5,4,1,1,4,6
60,5/4/2024,7,6,4,4,1,5,3,2,1,6,6
61,6/4/2024,3,6,3,4,2,5,3,1,1,9,8
62,7/4/2024,2,7,4,6,1,5,2,1,1,10,8
63,8/4/2024,1,6,4,5,1,5,3,1,1,1,7
64,9/4/2024,3,5,4,6,2,5,3,2,1,3,6
65,10/4/2024,1,8,5,7,6,7,4,1,1,2,2
66,11/4/2024,2,6,4,7,8,7,5,2,1,2,4
67,12/4/2024,3,4,3,6,5,5,4,2,1,3,5
68,13/4/2024,5,6,4,5,1,5,3,1,1,2,6
69,14/4/2024,7,5,3,4,1,5,2,2,1,4,6
70,15/4/2024,8,6,2,6,5,6,3,2,1,4,4
71,16/4/2024,6,6,2,7,5,7,4,4,1,4,6
72,17/4/2024,7,6,2,5,1,5,3,2,1,6,5
73,18/4/2024,7,6,3,4,2,5,3,4,1,7,5
74,19/4/2024,6,6,2,5,1,5,3,3,3,10,4
75,20/4/2024,8,6,1,4,1,5,5,2,5,8,6
76,21/4/2024,6,5,5,6,2,5,2,2,2,8,7
77,22/4/2024,6,5,4,4,1,5,4,1,1,8,7
78,23/4/2024,4,7,2,7,4,7,5,2,1,4,7
79,24/4/2024,8,6,7,6,2,5,4,2,1,8,5
80,25/4/2024,6,6,7,6,4,6,5,2,1,4,4
81,26/4/2024,5,5,8,6,6,7,5,2,3,3,3
82,27/4/2024,1,6,6,7,8,7,5,1,1,3,1
83,28/4/2024,4,5,4,6,7,6,5,1,1,4,2
84,29/4/2024,3,6,5,6,2,5,3,2,1,3,7
85,30/4/2024,6,5,4,5,1,5,4,3,1,8,6
86,1/5/2024,2,4,4,5,1,5,3,1,1,8,7
87,2/5/2024,8,5,3,4,1,5,3,3,1,8,3
88,3/5/2024,4,4,3,4,2,5,3,1,1,8,8
89,4/5/2024,3,3,2,4,1,4,3,1,1,8,7
90,5/5/2024,6,6,3,5,1,5,4,2,1,6,5
91,6/5/2024,7,6,3,4,1,5,5,2,1,9,2
92,7/5/2024,1,6,4,5,1,5,5,2,1,9,9
93,8/5/2024,2,6,4,5,2,5,4,1,1,10,10
94,9/5/2024,1,7,7,5,1,5,4,1,1,8,10
95,10/5/2024,2,6,6,4,2,5,4,1,1,8,10
96,11/5/2024,1,5,7,4,1,4,4,1,1,10,10
97,12/5/2024,1,5,6,4,2,5,3,1,1,9,9
98,13/5/2024,1,6,8,5,1,4,4,1,1,8,9
99,14/5/2024,1,6,7,5,1,5,4,1,1,10,9
100,15/5/2024,1,5,7,5,2,7,5,1,1,9,8
101,16/5/2024,2,4,6,4,4,7,4,1,2,6,2
102,17/5/2024,,,,,,,,,,,
103,18/5/2024,,,,,,,,,,,
104,19/5/2024,,,,,,,,,,,
105,20/5/2024,,,,,,,,,,,
106,21/5/2024,,,,,,,,,,,
107,22/5/2024,,,,,,,,,,,
108,23/5/2024,,,,,,,,,,,
109,24/5/2024,,,,,,,,,,,
110,25/5/2024,,,,,,,,,,,
111,26/5/2024,,,,,,,,,,,
112,27/5/2024,,,,,,,,,,,
113,28/5/2024,,,,,,,,,,,
114,29/5/2024,,,,,,,,,,,
115,30/5/2024,,,,,,,,,,,
116,31/5/2024,,,,,,,,,,,
117,1/6/2024,,,,,,,,,,,
118,2/6/2024,,,,,,,,,,,
119,3/6/2024,,,,,,,,,,,
120,4/6/2024,,,,,,,,,,,
121,5/6/2024,,,,,,,,,,,
122,6/6/2024,,,,,,,,,,,
123,7/6/2024,,,,,,,,,,,
124,8/6/2024,,,,,,,,,,,
125,9/6/2024,,,,,,,,,,,
126,10/6/2024,,,,,,,,,,,
127,11/6/2024,,,,,,,,,,,
128,12/6/2024,,,,,,,,,,,
129,13/6/2024,,,,,,,,,,,
130,14/6/2024,,,,,,,,,,,
131,15/6/2024,,,,,,,,,,,
132,16/6/2024,,,,,,,,,,,
133,17/6/2024,,,,,,,,,,,
134,18/6/2024,,,,,,,,,,,
135,19/6/2024,,,,,,,,,,,
136,20/6/2024,,,,,,,,,,,
137,21/6/2024,,,,,,,,,,,
138,22/6/2024,,,,,,,,,,,
139,23/6/2024,,,,,,,,,,,
140,24/6/2024,,,,,,,,,,,
141,25/6/2024,,,,,,,,,,,
142,26/6/2024,,,,,,,,,,,
143,27/6/2024,,,,,,,,,,,
144,28/6/2024,,,,,,,,,,,
145,29/6/2024,,,,,,,,,,,
146,30/6/2024,,,,,,,,,,,
147,1/7/2024,,,,,,,,,,,
148,2/7/2024,,,,,,,,,,,
149,3/7/2024,,,,,,,,,,,